Time;	Current pack;	Current item;	Check;	ERA;	
15:52:15;	4;	4;	OK;	 ;
15:52:15;	4;	4;	OK;	 ;
15:52:16;	4;	4;	OK;	 ;
15:52:16;	4;	4;	OK;	444;
15:52:21;	3;	3;	OK;	 ;
15:52:21;	3;	3;	OK;	 ;
15:52:22;	3;	3;	OK;	333;
15:52:27;	2;	2;	OK;	 ;
15:52:28;	2;	2;	OK;	222;
15:52:32;	1;	1;	OK;	11111;
Time;	Current pack;	Current item;	Check;	ERA;	
15:53:48;	6;	66;	Error;	 ;
15:53:49;	6;	6;	OK;	 ;
15:53:51;	6;	6;	OK;	 ;
15:53:52;	6;	5;	Error;	 ;
15:53:53;	6;	3;	Error;	 ;
15:53:54;	6;	6;	OK;	67675;
15:54:04;	5;	5;	OK;	 ;
15:54:05;	5;	5;	OK;	 ;
15:54:07;	5;	5;	OK;	5555;
