Time;	Current pack;	Current item;	Check;	ERA;	
22:43:54;	VOL2;	2;	OK;	 ;
22:43:56;	VOL2;	22;	Error;	 ;
22:51:18;	VOL45534;	5;	Error;	555;
22:53:21;	VOL12;	1;	Error;	 ;
22:53:23;	VOL12;	12;	OK;	12;
22:53:35;	VOL12345;	1;	Error;	 ;
22:53:38;	VOL12345;	12345;	OK;	453456;
23:18:17;	VOL44;	2;	Error;	 ;
23:18:18;	VOL44;	44;	OK;	 ;
23:18:20;	VOL44;	44;	OK;	454;
23:18:37;	VOL44444444444444444444;	4444444444444444444444444444444444444444444;	Error;	 ;
23:32:39;	VOL12;	I445;	Error;	 ;
23:32:44;	VOL12;	I12;	OK;	 ;
23:32:50;	VOL12;	I12;	OK;	eRRA;
